agg_id,x_pos,y_pos,NN_dist,Area,Area_ratio_with_NN,Perimeter,AxesRatio,Solidity,EulerNumber,Ratio_area_filledarea,Eccentricity,EquivDiameter,Orientation,Ratio_eDiameter_perimeter,ave_neigh_area,ratio_area_2_ave_neigh_area,maxAreaN,ratio_area_2_max_neigh_area,min_area_N,ratio_area_2_min_neigh_area,median_area_N,ratio_area_2_median_neigh_area,sum_neigh_area,ratio_area_2_sum_neigh_area,weightSumAreaN1,weightSumAreaN2,avgWeightSumAreaN1,avgWeightSumAreaN2,EquivDiameter_over_NNdist,NNdist_over_EquivDiameter,NNdist_over_avgWeightSumAreaN2,EquivDiameter_over_avgWeightSumAreaN2,sumRadiusNeigh,avgRadiusNeigh,sumNeighborDist,avgNeighborDist,NeighborhoodArea,Ratio_area_2_NeighborhoodArea,NN_area,stable
331,2162.31958762887,1658.09922680412,75.5919929634788,2728.125,0.577380952380952,214.76625,0.562172072055986,0.906542056074766,1,1,0.827020290803242,58.9368868619697,-20.4464446972903,0.274423410857012,4665.234375,0.584777694046722,6328.125,0.431111111111111,3389.0625,0.804979253112033,4471.875,0.610062893081761,18660.9375,0.14619442351168,31258.4068577112,165.97457607742,7814.60171442781,41.4936440193549,0.779671027994251,1.28259222684285,1.82177282207893,1.42038348896227,306.304966489198,76.5762416222995,479.164205286461,119.791051321615,18604.6875,0.146636432350718,4725,0
334,2195.15,1544.075,98.7883344409576,4218.75,1.2448132780083,223.51125,0.904926145171924,0.974025974025974,1,1,0.425568645208129,73.290376785438,-41.5839192355443,0.327904643660836,3513.28125,1.20080053368913,6609.375,0.638297872340426,2728.125,1.54639175257732,3389.0625,1.2448132780083,21079.6875,0.200133422281521,33489.9322745448,144.316550315459,5581.6553790908,24.0527583859099,0.741893030186081,1.34790321422642,4.1071519888059,3.04706743441,361.176440020583,60.1960733367638,726.836615018218,121.13943583637,18323.4375,0.230237912509593,3389.0625,0
338,2212.81374501992,2103.45119521912,176.037755786448,3529.6875,4.04838709677419,203.6025,0.803315211509365,0.984313725490196,1,1,0.595554087348634,67.0383301220831,79.267852670824,0.329260839734694,5784.375,0.610210696920583,11601.5625,0.304242424242424,871.875,4.04838709677419,4879.6875,0.723342939481268,17353.125,0.203403565640194,18391.7824433445,93.1060433183734,6130.59414778151,31.0353477727911,0.380817909331947,2.62592692070144,5.67216958789106,2.16006376383692,233.67924539482,77.8930817982732,555.415329525456,185.138443175152,8015.625,0.440350877192982,871.875,0
339,2203.68055555556,255.694444444444,128.476907466163,759.375,0.0789473684210526,88.4175,0.922999650701191,0.981818181818182,1,1,0.384800785869103,31.0944734524202,37.3105400382175,0.351677817767073,5480.859375,0.13855035279025,9618.75,0.0789473684210526,829.6875,0.915254237288136,5737.5,0.132352941176471,21923.4375,0.0346375881975625,28450.2600305845,137.705921928973,7112.56500764613,34.4264804822433,0.242023831875075,4.13182450774586,3.73192105804802,0.903213834724066,312.041704106693,78.0104260266733,751.534425073662,187.883606268416,11826.5625,0.0642092746730083,9618.75,0
341,2236.11244019139,2527.17703349282,134.287589639627,2939.0625,0.582172701949861,182.17125,0.885002259480474,0.990521327014218,1,1,0.465586727382188,61.1729564386763,74.2653947522532,0.335799180379321,7583.203125,0.387575336114975,10659.375,0.275725593667546,4007.8125,0.733333333333333,7832.8125,0.375224416517056,30332.8125,0.0968938340287436,38085.5766124215,183.073455016792,9521.39415310538,45.768363754198,0.455536930872313,2.19521169904949,2.93407014419015,1.33657730844847,384.37517603842,96.093794009605,652.835483842669,163.208870960667,19785.9375,0.148542999289268,5048.4375,0
343,2255.58370044053,1412.3127753304,98.6303100372367,3192.1875,0.630555555555556,195.165,0.860490030379256,0.965957446808511,1,1,0.50946727826025,63.75279883432,-13.2119228953201,0.326661024437374,5262.890625,0.606546426185705,6609.375,0.482978723404255,4218.75,0.756666666666667,5111.71875,0.624484181568088,21051.5625,0.151636606546426,32965.941422483,146.25922289566,8241.48535562075,36.564805723915,0.646381409632099,1.54707419659419,2.69741102364803,1.74355633982277,326.373383910564,81.5933459776411,601.558564012563,150.389641003141,16734.375,0.190756302521008,5062.5,0
344,2261.5742074928,1913.65634005764,116.41569957849,4879.6875,1.29477611940298,241.53,0.927143151644973,0.966573816155989,1,1,0.374707320929052,78.8226559496054,-37.4977552264081,0.326347269281685,5301.5625,0.920424403183024,10912.5,0.447164948453608,3529.6875,1.38247011952191,5892.1875,0.828162291169451,31809.375,0.153404067197171,49232.5362074155,189.345187422293,8205.42270123591,31.5575312370488,0.677079261946638,1.47693195789951,3.68899894937969,2.49774468596792,439.853557574969,73.3089262624948,849.252969522527,141.542161587088,17170.3125,0.284193284193284,3768.75,0
345,2258.70967741936,4224.02073732719,91.8961659145435,3051.5625,0.745704467353952,198.0825,0.58910348754901,0.951754385964912,1,1,0.808057597549577,62.3327365694054,41.1045966520791,0.314680683903956,4556.25,0.669753086419753,8085.9375,0.377391304347826,3825,0.797794117647059,5435.15625,0.561448900388098,22781.25,0.133950617283951,40767.4657228684,149.922394058144,8153.49314457368,29.9844788116289,0.678295290658482,1.47428415584193,3.06479117052064,2.07883341781585,336.333724236708,67.2667448473417,618.380298390317,123.676059678063,16903.125,0.180532445923461,4092.1875,0
351,2305.99576271186,52.3093220338983,55.1987833496335,829.6875,0.893939393939394,112.98,0.444683963666315,0.867647058823529,1,1,0.895687541756619,32.5021681549471,43.7511600609639,0.287680723623182,1416.796875,0.58560794044665,3979.6875,0.208480565371025,759.375,1.09259259259259,928.125,0.893939393939394,5667.1875,0.146401985111663,15918.7377913826,44.3453138443861,3979.68444784565,11.0863284610965,0.588820372164287,1.69831080457418,4.97899584549869,2.93173418675098,136.654241199625,34.1635602999063,447.348699658361,111.83717491459,4232.8125,0.196013289036545,928.125,0
354,2336.71495956873,3426.55997304582,176.611579894879,5217.1875,3.22608695652174,252.075,0.878786331746074,0.966145833333333,1,1,0.477215447294279,81.5029412800421,-34.472203634316,0.323328141545342,4204.6875,1.24080267558528,6792.1875,0.768115942028985,1617.1875,3.22608695652174,4204.6875,1.24080267558528,8409.375,0.620401337792642,9976.23915243932,40.4062520952176,4988.11957621966,20.2031260476088,0.461481298839824,2.1669350470193,8.74179468457964,4.03417476523088,138.372007205828,69.1860036029142,393.965019969996,196.982509984998,5962.5,0.875,1617.1875,0
