agg_id,x_pos,y_pos,NN_dist,Area,Area_ratio_with_NN,Perimeter,AxesRatio,Solidity,EulerNumber,Ratio_area_filledarea,Eccentricity,EquivDiameter,Orientation,Ratio_eDiameter_perimeter,ave_neigh_area,ratio_area_2_ave_neigh_area,maxAreaN,ratio_area_2_max_neigh_area,min_area_N,ratio_area_2_min_neigh_area,median_area_N,ratio_area_2_median_neigh_area,sum_neigh_area,ratio_area_2_sum_neigh_area,weightSumAreaN1,weightSumAreaN2,avgWeightSumAreaN1,avgWeightSumAreaN2,EquivDiameter_over_NNdist,NNdist_over_EquivDiameter,NNdist_over_avgWeightSumAreaN2,EquivDiameter_over_avgWeightSumAreaN2,sumRadiusNeigh,avgRadiusNeigh,sumNeighborDist,avgNeighborDist,NeighborhoodArea,Ratio_area_2_NeighborhoodArea,NN_area,stable
1,64.9800955414013,1665.51353503185,129.757837019398,13246.875,3.79838709677419,424.78875,0.717369668325388,0.950554994954591,1,1,0.696692729233428,129.870878545437,-47.2849300968732,0.305730503798504,4035.9375,3.28222996515679,9365.625,1.41441441441441,3487.5,3.79838709677419,3663.28125,3.61612284069098,20179.6875,0.656445993031359,25451.3920564629,124.885172996131,5090.27841129258,24.9770345992263,1.00087117301456,0.999129585267269,5.19508576984627,5.19961158837727,312.393808667986,62.4787617335972,652.783353600273,130.556670720055,24229.6875,0.546720835751596,3487.5,1
9,119.143735362998,1998.64461358314,115.991097451441,12009.375,7.2991452991453,472.92,0.459646962752985,0.908510638297872,1,1,0.888101722570087,123.656019495833,-64.3817946668587,0.261473440530815,5027.34375,2.38881118881119,11587.5,1.03640776699029,1645.3125,7.2991452991453,3825,3.13970588235294,30164.0625,0.398135198135198,43840.5368329883,181.485449984541,7306.75613883139,30.2475749974235,1.06608198571102,0.938014161577874,3.83472385674955,4.08813002385699,414.376708580244,69.0627847633739,809.233798559976,134.872299759996,27168.75,0.442028985507246,1645.3125,1
10,126.066444174757,2178.35406553398,151.5482555197,11587.5,2.94285714285714,414.70875,0.584110992267737,0.95040369088812,1,1,0.811673794520927,121.464658335743,-41.4128026525003,0.292891477056471,6145.3125,1.88558352402746,12009.375,0.964871194379391,3937.5,2.94285714285714,7425,1.56060606060606,36871.875,0.314263920671243,45134.994003145,201.993190043712,7522.49900052416,33.6655316739519,0.801491629970979,1.24767366570779,4.50158509265302,3.60798277336353,473.961605255524,78.9936008759206,921.138379774606,153.523063295768,25523.4375,0.453994490358127,3937.5,1
11,111.796875,1243.265625,140.554938788355,7875,0.907617504051864,321.51375,0.681144871745805,0.963855421686747,1,1,0.732148662290925,100.133717671868,82.231262763814,0.311444588829772,4664.0625,1.68844221105528,8676.5625,0.907617504051864,1828.125,4.30769230769231,6257.8125,1.25842696629213,27984.375,0.281407035175879,35579.3714163834,161.767834715651,5929.89523606391,26.9613057859418,0.712416927751272,1.40367242978978,5.21320962360969,3.71397878377538,409.373942173515,68.2289903622525,885.779162212799,147.6298603688,20446.875,0.385144429160935,8676.5625,1
12,176.525735294118,1811.92555147059,87.1197025639132,3825,0.81437125748503,226.45875,0.629572955685652,0.947735191637631,1,1,0.776941370676856,69.7863973752192,82.2944591717847,0.308163837234018,6352.23214285714,0.602150537634409,13246.875,0.288747346072187,1645.3125,2.32478632478632,7031.25,0.544,44465.625,0.0860215053763441,83681.9134637647,294.85654814896,11954.5590662521,42.12236402128,0.801040353920195,1.24837655819226,2.06825292426372,1.65675405444869,552.599693273573,78.9428133247962,836.519027878468,119.502718268353,29151.5625,0.131210805595755,4696.875,1
13,222.898706896552,2535.10873824451,147.232723863916,17943.75,9.11428571428571,612.32625,0.506579330723521,0.884268884268884,-1,0.979278587874137,0.862193355160958,151.15122255821,-48.1910124874563,0.24684753031282,5205.46875,3.44709590274651,11854.6875,1.51364175563464,1968.75,9.11428571428571,4317.1875,4.15635179153094,31232.8125,0.574515983791085,38900.373290412,172.316212933291,6483.395548402,28.7193688222151,1.02661431909605,0.974075640090934,5.12660026671713,5.26304124209342,425.745502246259,70.9575837077099,924.015773283298,154.00262888055,28378.125,0.632309217046581,1968.75,1
15,197.317415730337,1439.74719101124,114.253979446251,6257.8125,8.72549019607843,281.91,0.680846748505528,0.975877192982456,1,1,0.732425904136009,89.2619422740622,75.8706819009903,0.316632763201242,5663.671875,1.10490378646803,11390.625,0.549382716049383,717.1875,8.72549019607843,7875,0.794642857142857,45309.375,0.138112973308504,70158.1588011104,274.817697390797,8769.7698501388,34.3522121738497,0.781258934758191,1.27998536145959,3.32595696801226,2.59843359788084,601.252887631965,75.1566109539956,1165.44978271582,145.681222839477,25579.6875,0.244639912039582,717.1875,1
16,227.798423423423,1650.09572072072,144.098176214332,9365.625,13.0588235294118,343.78125,0.739654609922427,0.972262773722628,1,1,0.672986670016949,109.20020197399,-57.592773860512,0.317644438066329,4702.1484375,1.99177570093458,13246.875,0.707006369426752,717.1875,13.0588235294118,4246.875,2.20529801324503,37617.1875,0.248971962616822,48503.6242251361,206.352369622974,6062.95302814201,25.7940462028718,0.757818071281938,1.31957792759994,5.5864898078026,4.23354293138517,570.424742070166,71.3030927587708,1512.55930706277,189.069913382846,21909.375,0.427471116816431,717.1875,1
18,233.451704545455,1076.52698863636,150.478321519911,7425,0.66,351.69,0.66806812991475,0.893401015228426,1,1,0.744100110060608,97.2306722164286,76.1688628386763,0.276466980057518,5955.46875,1.24675324675325,11250,0.66,1828.125,4.06153846153846,7875,0.942857142857143,35732.8125,0.207792207792208,39647.500782467,217.231409950288,6607.91679707783,36.2052349917147,0.646144050746628,1.54764250919665,4.156258661333,2.68554180738446,461.320174547431,76.8866957579052,837.50997807646,139.584996346077,26859.375,0.276439790575916,11250,1
19,252.39854517611,2350.13591117917,152.473388197638,9182.8125,1.56971153846154,347.47125,0.738266653063362,0.961708394698085,1,1,0.674508968787385,108.129182031903,-36.7983656458286,0.311188859601774,7575.66964285714,1.21214531954389,17943.75,0.511755485893417,1968.75,4.66428571428571,5850,1.56971153846154,53029.6875,0.173163617077698,65025.1245732854,288.078872404837,9289.30351046934,41.1541246292624,0.709167568912053,1.41010396391098,3.70493576454844,2.62742028912014,651.163554333948,93.0233649048498,1303.11040763695,186.158629662422,27675,0.331808943089431,5850,1
